ssc_code16,ssc_name16,schools
22158,Richmond (Vic.),6
22160,Riddells Creek,1
22163,Ringwood East,2
22164,Ringwood North,3
22162,Ringwood (Vic.),7
22165,Ripplebrook,1
22171,Robinvale,2
22172,Rochester (Vic.),3
22174,Rockbank,1
22179,Rokewood,1
22181,Romsey,1
22182,Rosanna,4
22186,Rosebud,3
22187,Rosebud West,1
22188,Rosedale (Vic.),1
22196,Rowville,6
22197,Roxburgh Park,5
22198,Rubicon,1
22203,Rupanyup,1
22204,Rushworth,2
22206,Rutherglen,3
22209,Rye,1
22213,Sailors Gully,1
22215,Sale,9
22223,Sandringham (Vic.),4
22224,Sandy Creek (Vic.),1
22218,San Remo (Vic.),1
22228,Sassafras (Vic.),2
22231,Scoresby,3
22236,Seabrook,1
22238,Seaford (Vic.),8
22239,Seaholme,1
22235,Sea Lake,2
22240,Seaspray,1
22244,Sebastopol (Vic.),4
22247,Selby,1
22252,Seville,1
22254,Seymour (Vic.),2
22261,Shelford,1
22264,Shepparton,14
22265,Shepparton East,1
22266,Shepparton North,2
22267,Sherbrooke,1
22270,Silvan,1
22272,Simpson (Vic.),1
22279,Skipton,1
22280,Skye (Vic.),1
22288,Smythesdale,1
22291,Soldiers Hill (Vic.),2
22292,Somers,2
22294,Somerville (Vic.),4
22295,Sorrento (Vic.),2
22304,Southbank,1
22299,South Melbourne,2
22300,South Morang,3
22303,South Yarra,5
22308,Spotswood,2
22311,Springbank,1
22309,Spring Gully (Vic.),1
22315,Springhurst,1
22318,Springvale South,3
22317,Springvale (Vic.),7
22319,St Albans (Vic.),13
22321,St Andrews (Vic.),1
22339,Stanhope (Vic.),1
22323,St Arnaud,3
22343,Stawell,5
22328,St Helena,1
22333,St Kilda East,6
22332,St Kilda (Vic.),3
22335,St Leonards (Vic.),1
22358,Stratford (Vic.),2
22364,Strathewen,1
22365,Strathfieldsaye,2
22368,Strathmerton,1
22369,Strathmore (Vic.),4
22379,Sunbury,13
22384,Sunshine North,5
22383,Sunshine (Vic.),4
22385,Sunshine West,7
22387,Surrey Hills,4
22393,Swan Hill,7
22397,Swan Reach (Vic.),1
22401,Swifts Creek,1
22402,Sydenham (Vic.),3
22407,Taggerty,1
22411,Talbot (Vic.),1
22412,Talgarno,1
22414,Tallangatta,3
22417,Tallangatta Valley,1
22418,Tallarook,1
22419,Tallygaroopna,1
22421,Tambo Upper,1
22429,Tangambalanga,1
22432,Tanjil South,1
22435,Taradale (Vic.),1
22438,Tarnagulla,1
22439,Tarneit,6
22450,Tarrington,1
22453,Tarwin Lower,1
22455,Tatura,2
22458,Tawonga,1
22461,Taylors Hill,2
22462,Taylors Lakes,2
22464,Tecoma,1
22467,Teesdale (Vic.),1
22471,Templestowe,3
22472,Templestowe Lower,4
22473,Tempy,1
22476,Terang,2
22484,The Basin (Vic.),3
22489,The Patch,1
22492,Thomastown,9
22494,Thomson (Greater Geelong - Vic.),3
22495,Thoona,1
22496,Thornbury,8
22498,Thorpdale,1
22503,Timboon,1
22506,Timor (Vic.),1
22515,Tongala,2
22520,Tooborac,1
22521,Toolamba,1
22523,Toolangi,1
22524,Toolern Vale,1
22530,Toongabbie (Vic.),1
22533,Tooradin,1
22534,Toorak,4
22531,Toora (Vic.),1
22535,Toorloo Arm,1
22537,Tootgarook,1
22538,Torquay (Vic.),3
22540,Torrumbarry,1
22552,Trafalgar (Vic.),3
22556,Traralgon,9
22558,Traralgon South,1
22559,Travancore,2
22560,Trawalla,1
22564,Trentham,1
22569,Truganina,4
22573,Tullamarine,1
22574,Tungamah,1
22581,Tyabb,3
22583,Tyers,1
22584,Tylden,1
22585,Tynong,1
22595,Ultima,1
22598,Undera,1
22599,Underbool,1
22601,Upper Ferntree Gully,1
22604,Upper Plenty,1
22607,Upwey,3
22614,Vermont,4
22615,Vermont South,5
22620,Viewbank,2
22622,Violet Town,1
22626,Waaia,1
22631,Wahgunyah,1
22648,Wallan,2
22650,Wallington,1
22654,Walpeup,1
22655,Walwa,1
22658,Wandiligong,1
22660,Wandin North,2
22663,Wandong,1
22667,Wangaratta (Vic.),12
22672,Wantirna,5
22673,Wantirna South,7
22676,Warburton (Vic.),1
22684,Warracknabeal,4
22685,Warragul,8
22689,Warrandyte,3
22691,Warranwood,2
22694,Warrenheip,1
22697,Warrnambool,12
22708,Watsonia,2
22709,Watsonia North,1
22714,Wattle Glen,1
22716,Waubra,1
22717,Waurn Ponds,1
22720,Wedderburn (Vic.),1
22729,Welshpool (Vic.),1
22731,Wendouree,5
22736,Werribee,13
22738,Werrimull,1
22739,Wesburn,1
22742,West Footscray,2
22747,Westmeadows,1
22743,West Melbourne,1
22744,West Wodonga,4
22752,Wheelers Hill,8
22755,White Hills (Vic.),3
22758,Whitfield (Vic.),1
22760,Whittington,2
22761,Whittlesea,3
22763,Whorouly,1
22774,Willaura,1
22778,Williamstown (Vic.),5
22780,Willow Grove,1
22781,Willowmavin,1
22788,Winchelsea,1
22791,Windsor (Vic.),2
22800,Winton (Vic.),1
22804,Wodonga,8
22810,Wonga Park,1
22814,Wonthaggi,5
22818,Woodend (Vic.),2
22821,Woodford (Vic.),1
22826,Woodside (Vic.),1
22836,Woolsthorpe,1
22837,Woomelang,1
22838,Wooragee,1
22845,Woorinen South,1
22842,Woori Yallock,1
22858,Wunghnu,1
22860,Wurruk,1
22862,Wycheproof,1
22868,Wyndham Vale,4
22871,Yaapeet,1
22874,Yackandandah,1
22877,Yallambie,1
22879,Yallourn North,1
22887,Yandoit,1
22895,Yarra Glen,1
22898,Yarragon,1
22896,Yarra Junction,4
22900,Yarram,3
22901,Yarrambat,2
22902,Yarraville,5
22904,Yarrawonga (Vic.),3
22909,Yea,3
22910,Yellingbo,1
22915,Yering,1
22919,Yinnar,1
22920,Yinnar South,1
22928,Zeerust,1
